Year,Title,Authors,Link
1982,Interactive Orchestration Based on Score Analysis,"Roads, C.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.055/1
1982,Una teoria neurale della musica e tecniche compositive derivate,"Melzi, Giovanni; Ozzola, Vito",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.057/1
1982,About GRADIENT,"Ames, Charles",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.058/1
1983,An Experimental Music Composition Language With Real-Time Capabilities,"Loy, Gareth",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.001/1
1983,A Design for a Single Pass Scanner for the DARMS Music Coding Language,"Brinkman, Alexander R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.002/1
1983,Flavors Band: Beyond Computer Improvisation and/or A Meta-Composition Language,"Fry, Christopher",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.003/1
1983,eMerge: Toward a Knowledge-Based Spectral Editor,"Strawn, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.004/1
1983,Spectra and Timbre,"Strawn, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.005/1
1983,Spectral Pre-Processing for Audio Digital Filter Design,"Smith, Julius O.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.006/1
1983,An Automated Approach to Tuning,"Dannenberg, Roger B.; Benade, Arthur H.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.007/1
1983,The Code of Musicality - Incorporated into Real Time Computer Performance,"Clynes, Manfred",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.008/1
1983,Musical Applications of the Phase Vocoder,"Dolson, Mark",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.009/1
1983,The Alles Machine Revisited,"Nelson, Gary; Talbert, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.010/1
1983,A Synthesizer Debugger,"Jaffe, David",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.011/1
1983,Sensors for Playing Computer Music with Expression,"Snell, John M.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.012/1
1983,A Microprocessor Based Digital Flute,"Yunik, M.; Borys, M.; Swift, G. W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.013/1
1983,Towards a Computer Research of Tonal Music,"Balaban, Mira",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.014/1
1983,Production Systems: Three Applications in Music,"Ashley, Richard D.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.015/1
1983,Computer Pitch Recognition: A New Approach,"Dworak, Paul E.; Clendinning, Jane Piper",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.016/1
1983,Waveshaping Analysis and Implentation: A Generalized Approach Using Complex Arithmetic,"Freed, Daniel J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.017/1
1983,Some Initial Ideas on the Control of Digital Sound Synthesis Through AI Techniques,"Dierbach, Charles",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.018/1
1983,The MIDIM System,"Kaegi, Werner",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.019/1
1983,The Compositional Organization of Timbre in a Binaural Space,"Truax, Barry",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.020/1
1983,Using the Computer in a Search for New Aspects of Timbre Organisation and Composition,"Saariaho, Kaija",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.021/1
1983,Music Languages and Preprocessors: A Tutorial,"Pennycook, Bruce W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.022/1
1983,Interactive Composing: An Overview,"Chadabe, Joel",https://quod.lib.umich.edu/i/icmc/bbp2372.1983.023/1
1984,A Procedural Control Language for a Digital Signal Processor,"Berg, Paul",https://quod.lib.umich.edu/i/icmc/bbp2372.1984.001/1
1984,A Functional Approach to Real-Time Control,"Dannenberg, Roger B.; McAvinney, Paul",https://quod.lib.umich.edu/i/icmc/bbp2372.1984.002/1
1984,The M Orchestra Language,"Puckette, Miller",https://quod.lib.umich.edu/i/icmc/bbp2372.1984.003/1
